Iteration feature-quality min-feature-distanceklt window-size pyramid-level ndisplacements min-feature-displacement acceleration-bound deviation-bound smoothing-halfwidth min-tracking-error min-feature-time mm-connection-distance mm-segmentation-distance min-nfeatures-group MOTP MOTA Dit mt mme fpt relative_change delta_i
0 0.5 5.0 5 5 3 0.05 2.0 0.5 6 0.15 15 2.0 1.0 2.5 0.984770553926934 0.8244018192604311 45.90155046422087 2043 136 -1291 1.0 0 0
1 0.5 5.0 3 5 3 0.05 2.0 0.688315 6 0.15 15 2.0 1.0 2.5 0.9783544013079867 0.2968162942456002 22.446485843617797 4020 22 -486 1.0 1 0
2 0.5 5.0 3 5 3 0.05 2.0 0.5 6 0.15 15 2.0 1.0 2.5 0.9783544013079867 0.2968162942456002 22.446485843617797 4020 22 -486 1.0 2 0
3 0.5 5.0 3 5 3 0.05 2.0 0.5 6 0.150274 15 2.0 1.0 2.5 0.9839715387022313 0.31006525608068025 17.358823585483535 3974 24 -509 1.0 3 0
4 0.5 5.0 5 5 3 0.05 2.0 0.5 0 0.15 15 2.0 1.0 2.5 0.9847107152254132 0.8244018192604311 46.08190431060477 2043 136 -1291 1.0 4 0
5 0.5 5.0 5 3 3 0.05 2.0 0.5 0 0.148794 15 2.0 1.154361 2.5 0.9848318715974871 0.8095708918331026 44.685306273803164 2111 124 -1272 1.0 5 0
6 0.5 5.0 3 3 3 0.05 2.0 0.5 0 0.148794 5 2.0 0.878831 2.5 0.9840083573964834 0.6474194186276448 35.42148836678925 2842 91 -1150 1.0 6 0
7 0.5 5.0 5 3 3 0.05 2.0 0.5 0 0.148794 15 2.0 1.300640 2.5 0.9848318715974871 0.8095708918331026 44.685306273803164 2111 124 -1272 1.0 7 0
8 0.5 5.0 5 3 2 0.05 1.618743 0.5 0 0.148794 15 2.0 1.300640 2.5 0 0 0 0 0 0 1.0 8 0
9 0.5 5.301467 5 3 3 0.05 2.0 0.5 0 0.148794 15 2.0 1.300640 2.077940 0.9851434326456641 0.8414079493771011 45.713657749291784 1980 134 -1312 1.0 0 9
10 0.5 5.301467 5 3 3 0.142294 2.0 0.5 0 0.148794 15 2.0 1.300640 2.077940 0 0 0 0 0 0 1.0 1 9
11 0.5 5.301467 3 3 3 0.05 2.0 0.5 0 0.160516 15 2.0 1.531881 2.077940 0.9865592947721571 0.31283369586711485 14.704131519260194 3963 26 -514 1.0 2 9
12 0.5 5.301467 5 3 2 0.0 2.0 0.5 0 0.148794 15 2.0 1.300640 2.077940 0.9851438281807519 0.9244611429701404 49.946449656312325 1695 127 -1440 1.0 0 12
13 0.5 5.301467 5 3 2 0.055512 1.710758 0.5 0 0.148794 15 2.0 1.073072 2.077940 0 0 0 0 0 0 1.0 1 12
14 0.5 5.301467 5 3 2 0.0 2.0 0.5 0 0.185771 15 2.0 1.300640 2.077940 0.9849239425957784 0.9153648408147123 50.26357538567477 1723 123 -1418 1.0 2 12
15 0.5 5.301467 5 3 2 0.0 2.324354 0.5 0 0.148794 15 2.0 1.300640 2.077940 0.9851438281807519 0.9244611429701404 49.946449656312325 1695 127 -1440 1.0 3 12
16 0.5 5.301467 5 3 2 0.0 2.324354 0.5 0 0.148794 15 2.0 1.300640 2.077940 0.9851438281807519 0.9244611429701404 49.946449656312325 1695 127 -1440 1.0 4 12
17 0.5 5.301467 5 3 2 0.0 2.324354 0.5 0 0.148794 15 2.0 1.300640 2.077940 0.9851438281807519 0.9244611429701404 49.946449656312325 1695 127 -1440 1.0 5 12
18 0.5 5.301467 5 3 2 0.006795 2.324354 0.5 0 0.148794 15 2.0 1.300640 2.077940 0.9853420627264201 0.9278228198536682 49.74903910653008 1663 116 -1414 1.0 0 18
19 0.5 5.301467 5 3 2 0.006795 2.324354 0.5 0 0.148794 15 2.697967 1.300640 2.077940 0.9848060871488149 0.9424560015819656 51.568140216922394 1663 109 -1481 1.0 0 19
20 0.5 5.301467 5 3 2 0.0 2.324354 0.5 0 0.148794 15 2.697967 1.300640 2.077940 0.984841103929931 0.9345461736207238 51.0854797561326 1687 123 -1479 1.0 1 19
21 0.5 5.151934 5 3 2 0.0 2.324354 0.389864 0 0.148794 15 2.697967 1.624311 2.077940 0.9852502143290262 0.9339529365236307 50.046022781614255 1664 128 -1458 1.0 2 19
22 0.5 5.151934 5 3 2 0.0 2.362041 0.389864 0 0.148794 15 2.697967 1.624311 2.077940 0.9852502143290262 0.9339529365236307 50.046022781614255 1664 128 -1458 1.0 3 19
23 0.5 5.151934 5 3 2 0.0 2.651938 0.389864 0 0.148794 15 2.697967 1.654258 2.077940 0.9852502143290262 0.9339529365236307 50.046022781614255 1664 128 -1458 1.0 4 19
24 0.5 5.151934 5 3 2 0.053520 2.651938 0.343914 0 0.148794 15 2.697967 1.654258 1.0 0.9853804174315918 0.9036978445718805 50.55451652155558 1599 173 -1285 1.0 5 19
25 0.5 5.070108 5 3 2 0.0 2.651938 0.389864 0 0.148794 5 2.697967 1.654258 2.077940 0.9857561822213847 1.1900336167688352 60.84958955024436 785 118 -1864 1.0 0 25
26 0.5 5.070108 5 3 2 0.0 2.588349 0.389864 0 0.148794 5 2.858481 1.654258 1.602621 0.9858637201703206 1.1987344275262013 61.40799958012708 713 129 -1847 1.0 0 26
27 0.5 5.070108 5 3 2 0.021663 2.588349 0.389864 0 0.118235 5 2.858481 1.654258 1.602621 0.9857722542544077 1.1661063871860786 60.154909012364044 829 149 -1818 1.0 1 26
28 0.5 5.070108 5 3 2 0.021663 2.588349 0.389864 0 0.118235 5 2.858481 1.654258 2.114723 0.9853549337668688 1.1392129721178565 59.00497185328582 1028 134 -1866 1.0 2 26
29 0.5 5.070108 5 3 2 0.0 2.588349 0.389864 0 0.100392 5 2.858481 1.654258 2.114723 0.9856086634127951 1.2052600355942258 61.897138661568555 756 120 -1914 1.0 0 29
30 0.5 5.070108 3 3 2 0.0 2.588349 0.389864 0 0.100392 5 3.134588 1.654258 2.114723 0.9853612861009335 0.8453628633577219 42.90607043816365 2126 122 -1466 1.0 1 29
31 0.5 5.070108 5 3 2 0.0 2.588349 0.389864 0 0.100392 5 2.858481 1.654258 1.0 0.9862100724424289 1.2084239667787227 60.79979060133097 648 141 -1843 1.0 0 31
32 0.5 4.856261 5 3 2 0.0 2.588349 0.389864 0 0.100392 5 2.858481 1.654258 1.0 0.9862076825882462 1.2149495748467471 60.92066600771676 640 137 -1864 1.0 0 32
33 0.5 4.856261 3 3 2 0.0 2.588349 0.201032 0 0.100392 5 2.858481 1.654258 1.0 0.9854966919923874 0.8756179553094721 44.78621512750757 1969 139 -1479 1.0 1 32
34 0.300460 4.856261 5 3 2 0.0 2.588349 0.391341 0 0.100392 5 2.858481 1.654258 1.0 0.9865681413748685 1.2270120624876408 60.215022216464746 574 133 -1855 1.0 0 34
35 0.300460 4.856261 5 3 2 0.0 2.588349 0.391341 0 0.100392 5 2.858481 1.654258 1.0 0.9865681413748685 1.2270120624876408 60.215022216464746 574 133 -1855 1.0 1 34
36 0.300460 4.856261 3 3 2 0.0 2.588349 0.391341 0 0.100392 5 2.858481 1.654258 1.0 0.9857271241707706 1.0274866521653154 53.53755723543942 1306 183 -1628 1.0 2 34
